Team 1
1 P 0: Bedard, Erik                [01000000] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
13 C 5: Lo Duca, Paul              [01000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Castro, Ramon              [01000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Franco, Julio             [01000100] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
16 1B 5: Delgado, Carlos           [01000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 2B 5: Valentin, Jose            [01000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 2B 5: Easley, Damion            [01000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 3B 5: Wright, David             [01000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Reyes, Jose               [01000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 RF 5: Chavez, Endy              [01000100] | [01000000] | [00000000] | [00000010] | [00010100] | [00000000]
22 RF 5: Newhan, David             [01000100] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
23 RF 5: Green, Shawn              [01000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 CF 5: Beltran, Carlos           [01000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Alou, Moises              [01000100] | [01000000] | [00000000] | [00000001] | [00010100] | [00000000]
26 P 5: Park, Chan Ho              [10000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Sanchez, Duaner            [10000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Padilla, Juan              [10000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Pelfrey, Mike              [10000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Williams, Dave             [10000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 P 5: Vargas, Jason              [10000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 CF 5: Milledge, Lastings        [10000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
33 CF 5: Gomez, Carlos             [10000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
34 LF 5: Johnson, Ben              [10000100] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 18
1 P 0: Hamels, Cole                [01000100] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Eaton, Adam                 [01000100] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Moyer, Jamie                [01000100] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Lieber, Jon                 [01000100] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Garcia, Freddy              [01000100] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 1: Myers, Brett                [01000100] | [10000000] | [00000000] | [00000000] | [00000100] | [00000000]
7 P 2: Condrey, Clay               [01000100] | [10000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 2: Bisenius, Joseph            [01000100] | [10000000] | [00000000] | [00000000] | [00001000] | [00000000]
9 P 3: Madson, Ryan                [01000100] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Geary, Geoff               [01000100] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Alfonseca, Antonio         [01000100] | [10000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Gordon, Tom                [01000100] | [10000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Barajas, Rod               [01000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Ruiz, Carlos               [01000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Howard, Ryan              [01000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: Utley, Chase              [01000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 3B 5: Dobbs, Greg               [01000100] | [10000000] | [00000000] | [00001000] | [00010100] | [00000000]
18 3B 5: Wood, Great               [01000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 3B 5: Helms, Wes                [01000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Rollins, Jimmy            [01000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 RF 5: Werth, Jayson             [01000100] | [10000000] | [00000000] | [00001000] | [00010100] | [00000000]
22 RF 5: Bourn, Michael            [01000100] | [10000000] | [00000000] | [00000100] | [00010100] | [00000000]
23 CF 5: Victorino, Shane          [01000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 CF 5: Rowand, Aaron             [01000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Burrell, Pat              [01000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Smith, Matt                [10000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Castro, Fabio              [10000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Mathieson, Scott           [10000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 C 5: Budde, Ryan                [10000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 C 5: Coste, Chris               [10000100] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 19
1 P 0: Patterson, John             [01000100] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Hill, Shawn                 [01000100] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Chico, Matt                 [01000100] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Bergmann, Jason             [01000100] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Williams, Jerome            [01000100] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Speigner, Levale            [01000100] | [11000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 3: King, Ray                   [01000100] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
8 P 3: Colome, Jesus               [01000100] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Bowie, Micah                [01000100] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Wagner, Ryan               [01000100] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Rauch, Jon                 [01000100] | [11000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Cordero, Chad              [01000100] | [11000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Flores, Jesus              [01000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Fick, Robert               [01000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 C 5: Schneider, Brian           [01000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 1B 5: Young, Dmitri             [01000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 2B 5: Belliard, Ronnie          [01000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 3B 5: Zimmerman, Ryan           [01000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 SS 5: Lopez, Felipe             [01000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Wilson, Josh              [01000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: Guzman, Cristian          [01000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 RF 5: Church, Ryan              [01000100] | [11000000] | [00000000] | [00000010] | [00010100] | [00000000]
23 CF 5: Kearns, Austin            [01000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 CF 5: Logan, Nook               [01000100] | [11000000] | [00000000] | [00000001] | [00010100] | [00000000]
25 LF 5: Snelling, Chris           [01000100] | [11000000] | [00000000] | [00001000] | [00010100] | [00000000]
26 P 5: O'Connor, Michael          [10000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Schroder, Chris            [10000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Ayala, Luis                [10000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Rivera, Saul               [10000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 1B 5: Johnson, Nick             [10000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 3B 5: Casto, Kory               [10000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 CF 5: Escobar, Alex             [10000100] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 20
1 P 0: Zambrano, Carlos            [01000101] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Lilly, Ted                  [01000101] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Marquis, Jason              [01000101] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Hill, Rich                  [01000101] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Miller, Wade                [01000101] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 1: Guzman, Angel               [01000101] | [00000000] | [00000000] | [00000000] | [00000100] | [00000000]
7 P 2: Wuertz, Michael             [01000101] | [00000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Cotts, Neal                 [01000101] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Ohman, Will                 [01000101] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Eyre, Scott                [01000101] | [00000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 6: Howry, Bob                 [01000101] | [00000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Dempster, Ryan             [01000101] | [00000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Blanco, Henry              [01000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Barrett, Michael           [01000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Lee, Derrek               [01000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: DeRosa, Mark              [01000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 2B 5: Cedeno, Ronny             [01000101] | [00000000] | [00000000] | [00000100] | [00010100] | [00000000]
18 2B 5: Theriot, Ryan             [01000101] | [00000000] | [00000000] | [00001010] | [00010100] | [00000000]
19 3B 5: Ramirez, Aramis           [01000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Izturis, Cesar            [01000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 RF 5: Jones, Jacque             [01000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 CF 5: Soriano, Alfonso          [01000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 LF 5: Ward, Daryle              [01000101] | [00000000] | [00000000] | [00001000] | [00010100] | [00000000]
24 LF 5: Floyd, Cliff              [01000101] | [00000000] | [00000000] | [00001001] | [00010100] | [00000000]
25 LF 5: Murton, Matt              [01000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Marmol, Carlos             [10000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Marshall, Sean             [10000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Wood, Kerry                [10000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Cherry, Rocky              [10000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Mateo, Juan                [10000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 CF 5: Pie, Felix                [10000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 LF 5: Pagan, Angel              [10000101] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 21
1 P 0: Harang, Aaron               [01000101] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Arroyo, Bronson             [01000101] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Lohse, Kyle                 [01000101] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Belisle, Matt               [01000101] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Milton, Eric                [01000101] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 1: Saarloos, Kirk              [01000101] | [01000000] | [00000000] | [00000000] | [00000100] | [00000000]
7 P 3: Stanton, Mike               [01000101] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
8 P 3: Coutlangus, Jon             [01000101] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Santos, Victor              [01000101] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Coffey, Todd               [01000101] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Burton, Jared              [01000101] | [01000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Weathers, David            [01000101] | [01000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Valentin, Javier           [01000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Moeller, Chad              [01000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 C 5: Ross, David                [01000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 1B 5: Hatteberg, Scott          [01000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 1B 5: Conine, Jeff              [01000101] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
18 2B 5: Phillips, Brandon         [01000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 3B 5: Encarnacion, Edwin        [01000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Kennedy, Great            [01000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: Castro, Juan              [01000101] | [01000000] | [00000000] | [00000010] | [00010100] | [00000000]
22 CF 5: Hamilton, Josh            [01000101] | [01000000] | [00000000] | [00001010] | [00010100] | [00000000]
23 CF 5: Griffey Jr., Ken          [01000101] | [01000000] | [00000000] | [00000001] | [00010100] | [00000000]
24 LF 5: Freel, Ryan               [01000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Dunn, Adam                [01000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Majewski, Gary             [10000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Cormier, Rheal             [10000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Bray, Bill                 [10000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Ramirez, Elizardo          [10000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Guardado, Eddie            [10000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 P 5: Livingston, Bobby          [10000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 2B 5: Keppinger, Jeff           [10000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
33 SS 5: Gil, Jerry                [10000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
34 RF 5: Denorfia, Chris           [10000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
35 RF 5: Hopper, Norris            [10000101] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 22
1 P 0: Oswalt, Roy                 [01000101] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Jennings, Jason             [01000101] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Williams, Woody             [01000101] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Rodriguez, Wandy            [01000101] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Sampson, Chris              [01000101] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Moehler, Brian              [01000101] | [10000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 3: Miller, Trever              [01000101] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
8 P 3: Qualls, Chad                [01000101] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: White, Rick                 [01000101] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Wheeler, Dan               [01000101] | [10000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 6: Lidge, Brad                [01000101] | [10000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Borkowski, Dave            [01000101] | [10000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Quintero, Humberto         [01000101] | [10000000] | [00000000] | [00000010] | [00010100] | [00000000]
14 C 5: Ausmus, Brad               [01000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Berkman, Lance            [01000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 1B 5: Lamb, Mike                [01000101] | [10000000] | [00000000] | [00001000] | [00010100] | [00000000]
17 2B 5: Loretta, Mark             [01000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 2B 5: Biggio, Craig             [01000101] | [10000000] | [00000000] | [00001000] | [00010100] | [00000000]
19 3B 5: Ensberg, Morgan           [01000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Everett, Adam             [01000101] | [10000000] | [00000000] | [00001110] | [00010100] | [00000000]
21 RF 5: Lane, Jason               [01000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 RF 5: Scott, Luke               [01000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 CF 5: Burke, Chris              [01000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 LF 5: Palmeiro, Orlando         [01000101] | [10000000] | [00000000] | [00000010] | [00010100] | [00000000]
25 LF 5: Lee, Carlos               [01000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Albers, Matt               [10000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Backe, Brandon             [10000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: McLemore, Mark             [10000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 C 5: Gimenez, Hector            [10000101] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 23
1 P 0: Sheets, Ben                 [01000101] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Capuano, Chris              [01000101] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Suppan, Jeff                [01000101] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Bush, Dave                  [01000101] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Vargas, Claudio             [01000101] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Dessens, Elmer              [01000101] | [11000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 2: Villanueva, Carlos          [01000101] | [11000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Aquino, Greg                [01000101] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 4: Shouse, Brian               [01000101] | [11000000] | [00000000] | [00000000] | [00010000] | [00000000]
10 P 3: Turnbow, Derrick           [01000101] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Wise, Matt                 [01000101] | [11000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Cordero, Francisco         [01000101] | [11000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Estrada, Johnny            [01000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Williams, Great            [01000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Fielder, Prince           [01000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: Graffanino, Tony          [01000101] | [11000000] | [00000000] | [00000010] | [00010100] | [00000000]
17 2B 5: Weeks, Rickie             [01000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 3B 5: Counsell, Craig           [01000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 SS 5: Hardy, J.J.               [01000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 RF 5: Hart, Corey               [01000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 CF 5: Gwynn, Tony               [01000101] | [11000000] | [00000000] | [00001000] | [00010100] | [00000000]
22 CF 5: Hall, Bill                [01000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 CF 5: Gross, Gabe               [01000101] | [11000000] | [00000000] | [00000010] | [00010100] | [00000000]
24 LF 5: Mench, Kevin              [01000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Jenkins, Geoff            [01000101] | [11000000] | [00000000] | [00000010] | [00010100] | [00000000]
26 P 5: Capellan, Jose             [10000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 3B 5: Koskie, Corey             [10000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 CF 5: Nix, Laynce               [10000101] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 24
1 P 0: Duke, Zach                  [01000110] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Snell, Ian                  [01000110] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Maholm, Paul                [01000110] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Gorzelanny, Tom             [01000110] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Armas, Tony                 [01000110] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Chacon, Shawn               [01000110] | [00000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 2: Wasdin, John                [01000110] | [00000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Perez, Juan                 [01000110] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Bayliss, Jonah              [01000110] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Marte, Damaso              [01000110] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Capps, Matt                [01000110] | [00000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Torres, Salomon            [01000110] | [00000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Paulino, Ronny             [01000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Doumit, Ryan               [01000110] | [00000000] | [00000000] | [00001000] | [00010100] | [00000000]
15 C 5: Cota, Humberto             [01000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 1B 5: LaRoche, Adam             [01000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 1B 5: Nady, Xavier              [01000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 2B 5: Sanchez, Freddy           [01000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 2B 5: Castillo, Jose            [01000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 3B 5: Bautista, Jose            [01000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: Kelly, Don                [01000110] | [00000000] | [00000000] | [00000010] | [00010100] | [00000000]
22 SS 5: Wilson, Jack              [01000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 CF 5: McLouth, Nate             [01000110] | [00000000] | [00000000] | [00001000] | [00010100] | [00000000]
24 CF 5: Duffy, Chris              [01000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Bay, Jason                [01000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Rogers, Brian              [10000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: McLeary, Marty             [10000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Grabow, John               [10000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Sharpless, Josh            [10000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Kuwata, Masumi             [10000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 1B 5: Eldred, Brad              [10000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 CF 5: Davis, Rajai              [10000110] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 25
1 P 0: Carpenter, Chris            [01000110] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Wells, Kip                  [01000110] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Looper, Braden              [01000110] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Wainwright, Adam            [01000110] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Reyes, Anthony              [01000110] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 1: Thompson, Brad              [01000110] | [01000000] | [00000000] | [00000000] | [00000100] | [00000000]
7 P 3: Dove, Dennis                [01000110] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
8 P 3: Johnson, Tyler              [01000110] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Franklin, Ryan              [01000110] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Springer, Russ             [01000110] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Flores, Randy              [01000110] | [01000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Isringhausen, Jason        [01000110] | [01000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Bennett, Gary              [01000110] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Molina, Yadier             [01000110] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
15 1B 5: Pujols, Albert            [01000110] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: Kennedy, Adam             [01000110] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 2B 5: Miles, Aaron              [01000110] | [01000000] | [00000000] | [00001010] | [00010100] | [00000000]
18 3B 5: Rolen, Scott              [01000110] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
19 SS 5: Eckstein, David           [01000110] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 RF 5: Wilson, Preston           [01000110] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
21 CF 5: Edmonds, Jim              [01000110] | [01000000] | [00000000] | [00000001] | [00010100] | [00000000]
22 LF 5: Taguchi, So               [01000110] | [01000000] | [00000000] | [00001110] | [00010100] | [00000000]
23 LF 5: Duncan, Chris             [01000110] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
24 LF 5: Spiezio, Scott            [01000110] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
25 RF 5: Encarnacion, Juan         [01000110] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Mulder, Mark               [10000110] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Kinney, Josh               [10000110] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 SS 5: Ryan, Brendan             [10000110] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
